spkt,spkid
135.60000000011368,82.0
135.60000000011368,86.0
135.6500000001137,87.0
136.00000000011377,92.0
136.05000000011378,70.0
136.1500000001138,67.0
137.25000000011406,57.0
138.60000000011436,95.0
138.65000000011437,99.0
139.30000000011452,84.0
139.35000000011453,56.0
140.60000000011482,80.0
141.30000000011498,93.0
143.6000000001155,85.0
143.6500000001155,9.0
143.75000000011553,26.0
144.70000000011575,78.0
145.850000000116,94.0
146.40000000011614,87.0
146.95000000011626,86.0
147.1500000001163,81.0
148.0500000001165,89.0
148.35000000011658,82.0
149.05000000011674,52.0
150.10000000011698,96.0
150.150000000117,83.0
150.95000000011717,69.0
151.1000000001172,99.0
151.5000000001173,19.0
152.70000000011757,33.0
152.8000000001176,91.0
153.95000000011785,95.0
154.75000000011804,21.0
155.15000000011813,41.0
156.10000000011834,10.0
156.50000000011843,87.0
156.55000000011844,80.0
156.60000000011846,1.0
156.70000000011848,58.0
156.90000000011852,7.0
158.00000000011877,40.0
158.1000000001188,85.0
158.35000000011885,86.0
158.45000000011888,92.0
159.35000000011908,89.0
160.00000000011923,81.0
160.60000000011937,48.0
160.90000000011943,84.0
161.00000000011946,45.0
161.00000000011946,96.0
161.05000000011947,88.0
161.10000000011948,82.0
161.35000000011954,23.0
161.55000000011958,99.0
161.70000000011962,77.0
162.9000000001199,0.0
163.35000000012,18.0
163.75000000012008,53.0
163.95000000012013,76.0
164.55000000012026,90.0
166.15000000012063,26.0
166.20000000012064,75.0
167.00000000012082,78.0
167.05000000012083,65.0
168.55000000012117,83.0
168.7000000001212,69.0
168.75000000012122,35.0
169.20000000012132,17.0
169.9500000001215,86.0
170.15000000012154,81.0
170.25000000012156,24.0
170.75000000012167,39.0
170.80000000012168,80.0
171.10000000012175,84.0
171.10000000012175,89.0
171.3500000001218,30.0
171.40000000012182,71.0
171.90000000012193,94.0
172.00000000012196,87.0
173.35000000012226,4.0
174.20000000012246,88.0
174.50000000012253,43.0
174.60000000012255,82.0
175.6500000001228,74.0
176.00000000012287,5.0
177.25000000012315,25.0
177.60000000012323,19.0
179.6500000001237,67.0
179.7000000001237,83.0
179.90000000012375,85.0
180.6000000001239,87.0
181.000000000124,27.0
181.000000000124,98.0
181.30000000012407,91.0
182.60000000012437,31.0
182.60000000012437,92.0
183.05000000012447,84.0
185.60000000012505,97.0
185.8500000001251,80.0
186.00000000012514,81.0
187.95000000012558,69.0
187.95000000012558,93.0
188.4500000001257,50.0
188.80000000012578,26.0
189.3500000001259,0.0
189.95000000012604,41.0
190.6500000001262,90.0
190.7000000001262,58.0
191.0500000001263,77.0
191.5000000001264,86.0
191.90000000012648,88.0
192.0000000001265,85.0
192.20000000012655,87.0
192.20000000012655,89.0
192.4500000001266,46.0
192.9000000001267,55.0
193.15000000012677,2.0
193.15000000012677,82.0
193.40000000012682,98.0
193.65000000012688,83.0
193.85000000012693,38.0
