spkt,spkid
522.8999999998983,66.0
524.4499999998969,63.0
524.4999999998969,29.0
525.5999999998959,60.0
527.2999999998943,69.0
527.3999999998942,7.0
527.4999999998942,73.0
527.9499999998937,1.0
528.4499999998933,61.0
528.4999999998932,72.0
529.5499999998923,68.0
529.7499999998921,80.0
530.5999999998913,62.0
535.9499999998865,79.0
539.1499999998836,4.0
539.3999999998833,34.0
539.4999999998832,69.0
541.1499999998817,66.0
541.3499999998816,78.0
542.6999999998803,13.0
543.4499999998797,65.0
543.5499999998796,68.0
544.2499999998789,76.0
545.6999999998776,70.0
546.7499999998766,39.0
549.3999999998742,35.0
549.4499999998742,60.0
550.5999999998731,77.0
552.3499999998716,62.0
553.7499999998703,66.0
556.6499999998676,70.0
557.8499999998666,78.0
558.1499999998663,73.0
559.0499999998655,68.0
560.699999999864,65.0
560.9999999998637,72.0
561.2999999998634,69.0
562.1999999998626,31.0
562.4999999998623,74.0
563.6999999998612,77.0
565.3999999998597,62.0
570.7499999998548,70.0
572.3499999998534,73.0
573.5999999998522,79.0
573.849999999852,39.0
573.899999999852,61.0
574.0499999998518,34.0
574.5499999998514,65.0
575.1999999998508,13.0
575.6499999998504,78.0
575.7499999998503,69.0
576.04999999985,66.0
576.3999999998497,1.0
577.5999999998486,7.0
578.5999999998477,68.0
580.7499999998457,80.0
580.8499999998456,70.0
581.8499999998447,35.0
584.6499999998422,63.0
585.4499999998415,60.0
587.1499999998399,74.0
587.9499999998392,62.0
592.2499999998353,78.0
592.9499999998346,68.0
595.4999999998323,70.0
595.899999999832,32.0
596.2499999998316,61.0
596.6499999998313,60.0
597.1999999998308,54.0
600.299999999828,66.0
601.7499999998266,62.0
602.1999999998262,68.0
603.1999999998253,72.0
603.9499999998246,65.0
604.1499999998244,35.0
604.4499999998242,73.0
605.5999999998231,80.0
605.699999999823,63.0
606.849999999822,74.0
609.1999999998199,69.0
610.1999999998189,11.0
611.1499999998181,31.0
612.7999999998166,62.0
613.449999999816,60.0
614.0499999998154,1.0
614.9999999998146,64.0
616.699999999813,65.0
617.3499999998124,66.0
618.4999999998114,70.0
619.5999999998104,74.0
619.99999999981,32.0
620.8499999998093,80.0
621.0499999998091,68.0
627.1499999998035,73.0
628.3999999998024,63.0
629.3499999998015,60.0
631.1499999997999,79.0
633.7499999997975,74.0
633.7999999997975,62.0
636.2499999997953,68.0
638.2499999997934,77.0
638.7999999997929,60.0
639.8999999997919,78.0
641.4999999997905,61.0
644.2999999997879,72.0
645.5999999997867,70.0
645.6999999997867,65.0
645.9999999997864,11.0
646.449999999786,69.0
646.8499999997856,74.0
648.2499999997843,68.0
649.3499999997833,66.0
650.799999999782,64.0
653.5999999997795,73.0
657.7499999997757,67.0
659.649999999774,68.0
659.6999999997739,60.0
660.4999999997732,31.0
662.9999999997709,38.0
663.8499999997701,62.0
665.4999999997686,72.0
666.149999999768,70.0
666.4999999997677,77.0
668.8999999997656,50.0
670.9499999997637,79.0
671.7999999997629,60.0
671.8499999997629,76.0
672.6499999997621,13.0
673.849999999761,1.0
674.99999999976,74.0
675.2999999997597,73.0
675.6499999997594,69.0
676.1999999997589,65.0
676.3999999997587,66.0
676.4499999997587,11.0
679.2499999997561,77.0
680.2999999997552,72.0
682.8999999997528,35.0
683.9999999997518,32.0
684.5499999997513,62.0
685.1999999997507,68.0
685.4499999997505,63.0
685.94999999975,78.0
688.7999999997475,60.0
689.5499999997468,74.0
690.6499999997458,70.0
690.6999999997457,61.0
691.5999999997449,72.0
692.8499999997438,64.0
693.9999999997427,67.0
694.0499999997427,77.0
695.7499999997411,62.0
696.2499999997407,69.0
696.3999999997405,75.0
700.9499999997364,60.0
702.0999999997354,66.0
704.0999999997335,74.0
704.3999999997333,78.0
705.9499999997319,70.0
706.899999999731,72.0
707.0999999997308,68.0
708.1999999997298,11.0
709.4499999997287,64.0
710.7999999997274,73.0
711.0499999997272,39.0
712.4999999997259,60.0
714.2999999997243,65.0
715.1499999997235,43.0
717.1999999997216,61.0
717.6499999997212,70.0
719.2999999997197,77.0
719.5999999997194,62.0
720.099999999719,68.0
723.0999999997163,35.0
723.1499999997162,72.0
723.7499999997157,47.0
724.9999999997145,10.0
726.8999999997128,60.0
728.3499999997115,73.0
728.9499999997109,39.0
729.5999999997103,45.0
730.6999999997093,52.0
730.8999999997092,63.0
731.1499999997089,70.0
732.3499999997078,62.0
733.1499999997071,68.0
734.2499999997061,66.0
734.8499999997056,78.0
735.3499999997051,65.0
739.3999999997014,77.0
741.3999999996996,0.0
741.7999999996993,72.0
742.099999999699,31.0
743.8999999996973,60.0
744.8499999996965,61.0
746.2999999996952,51.0
748.3499999996933,73.0
748.699999999693,78.0
748.7499999996929,74.0
748.9499999996927,69.0
750.9999999996909,62.0
751.1499999996907,13.0
754.4499999996877,68.0
754.6999999996875,11.0
755.0999999996872,77.0
755.299999999687,66.0
756.4499999996859,48.0
756.5999999996858,60.0
757.449999999685,72.0
759.1499999996835,63.0
759.2499999996834,34.0
759.7999999996829,64.0
760.5499999996822,65.0
763.6999999996793,78.0
764.2999999996788,70.0
765.6499999996776,66.0
766.3999999996769,20.0
767.5999999996758,60.0
767.8999999996755,77.0
768.3999999996751,79.0
768.5499999996749,73.0
768.6999999996748,68.0
768.6999999996748,72.0
770.7499999996729,69.0
776.2999999996679,62.0
776.9499999996673,78.0
780.8999999996637,74.0
781.1999999996634,13.0
782.5999999996621,65.0
782.699999999662,60.0
784.6499999996603,73.0
786.2999999996588,69.0
786.3499999996587,79.0
786.3999999996587,35.0
788.0999999996571,52.0
788.249999999657,11.0
788.6499999996566,72.0
789.4999999996559,7.0
789.5499999996558,77.0
790.9499999996546,67.0
791.1499999996544,60.0
795.0499999996508,32.0
795.8499999996501,61.0
797.8499999996483,74.0
798.0499999996481,64.0
799.199999999647,70.0
800.6499999996457,66.0
800.6499999996457,68.0
801.8999999996446,51.0
803.699999999643,80.0
804.2999999996424,78.0
806.0499999996408,79.0
807.1499999996398,60.0
807.1999999996398,34.0
807.8499999996392,35.0
808.6999999996384,70.0
809.3999999996378,73.0
809.7499999996375,47.0
811.5499999996358,11.0
812.2999999996351,72.0
812.8499999996346,74.0
812.8999999996346,31.0
814.9999999996327,69.0
816.3999999996314,62.0
816.9499999996309,7.0
818.8499999996292,13.0
820.3499999996278,63.0
820.4499999996277,1.0
821.9999999996263,24.0
822.2499999996261,70.0
822.9999999996254,74.0
823.9499999996245,10.0
824.0499999996244,64.0
824.0999999996244,39.0
824.3499999996242,65.0
824.7499999996238,35.0
826.2999999996224,72.0
828.99999999962,60.0
829.3999999996196,77.0
833.6499999996157,74.0
834.1999999996152,61.0
836.9999999996127,76.0
837.0999999996126,75.0
837.1999999996125,70.0
837.5499999996122,51.0
837.5999999996121,62.0
837.8999999996119,73.0
839.4499999996104,36.0
839.6999999996102,60.0
840.0999999996098,69.0
840.999999999609,66.0
841.4499999996086,65.0
842.7499999996074,63.0
843.0999999996071,72.0
844.9999999996054,68.0
845.6999999996048,78.0
846.7999999996038,79.0
846.9499999996036,35.0
848.749999999602,77.0
852.4999999995986,70.0
854.249999999597,62.0
854.3999999995968,69.0
857.3499999995942,74.0
858.7499999995929,60.0
859.8499999995919,78.0
860.2499999995915,29.0
860.4499999995913,66.0
861.2999999995906,64.0
863.6999999995884,77.0
864.3499999995878,13.0
864.3999999995877,35.0
864.4999999995877,70.0
864.9499999995872,72.0
869.7499999995829,65.0
872.2499999995806,66.0
873.1999999995797,53.0
873.999999999579,51.0
874.3499999995787,73.0
875.6999999995775,76.0
875.8499999995773,63.0
876.6999999995766,32.0
877.0999999995762,60.0
877.299999999576,68.0
877.349999999576,1.0
877.8499999995755,70.0
878.1499999995752,34.0
878.399999999575,72.0
878.5499999995749,62.0
880.0999999995735,35.0
885.7999999995683,66.0
889.0999999995653,78.0
889.399999999565,73.0
889.399999999565,79.0
889.449999999565,62.0
889.7999999995646,60.0
